Unique ID,Type of the Furniture,Name,Description,Material,Color,Warranty Period (in years),Price (in US dollars),Dimensions in cm (LxWxH),Country of Creation,Features,Quantity
SV7zzt,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Walnut Brown,5,453,171x68x77,Poland,without armrests,29
FXfjn8,Bed,Relax Bed,A comfortable metal bed without storage.,Metal,Walnut Brown,10,693,273x140x115,Italy,"king, without storage",84
4kxwCO,Chair,Buddy Chair,A comfortable plastic chair without armrests.,Plastic,Ivory White,2,93,155x77x108,USA,without armrests,68
3a4Jcw,Sofa,Relax Sofa,A sturdy wood sofa with recliner.,Wood,Ivory White,5,464,260x119x120,China,"2 seats, without recliner",27
gyhbUE,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Beige,1,258,236x112x152,Poland,without armrests,8
szgwwB,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Silver,2,56,194x54x69,China,"1 sections, with mirror",86
fNKLsX,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Silver,5,262,141x78x185,Italy,without armrests,61
z5ZJaI,Bed,Cozy Bed,An elegant glass bed queen.,Glass,Walnut Brown,3,656,178x48x44,China,"king, with storage",1
0f9AhN,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Silver,1,309,154x110x152,Italy,"rectangular, not extendable",51
clsg1q,Table,Buddy Table,An elegant plastic table extendable.,Plastic,Beige,2,159,139x116x114,Sweden,"circular, extendable",4
1WGaxj,Bed,Lush Bed,A modern wood bed without storage.,Wood,Silver,5,165,269x47x54,Sweden,"double, with storage",99
nJG1qW,Sofa,Relax Sofa,An ergonomic metal sofa 2.,Metal,Charcoal Gray,10,223,267x86x84,Germany,"2 seats, with recliner",32
I5eYSu,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Natural Oak,1,112,81x143x51,Italy,"double, without storage",95
EraGsQ,Wardrobe,Sturdy Wardrobe,A sturdy glass wardrobe without mirror.,Glass,Silver,3,418,62x149x157,China,"2 sections, without mirror",96
gNHCRt,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Ivory White,2,106,233x87x42,Italy,"2 sections, without mirror",56
DtcMSf,Table,Buddy Table,An elegant plastic table extendable.,Plastic,Charcoal Gray,2,84,221x34x96,Sweden,"circular, extendable",45
tDOcZu,Chair,Buddy Chair,A sturdy glass chair without armrests.,Glass,Charcoal Gray,3,595,237x31x106,Sweden,with armrests,75
U83M46,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Beige,1,199,114x91x52,Sweden,without armrests,68
iJXxBY,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Beige,10,588,225x68x159,Poland,"king, with storage",15
Q0Krq0,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Charcoal Gray,2,45,199x107x61,Poland,without armrests,23
ThBxKh,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Natural Oak,5,127,214x46x199,Poland,"1 sections, with mirror",17
IOawz9,Bed,Cozy Bed,An elegant glass bed queen.,Glass,Jet Black,3,191,114x86x158,Italy,"double, without storage",19
bt9AfD,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Ivory White,5,319,205x35x120,Poland,"1 sections, with mirror",17
UrXJ5J,Table,Buddy Table,A compact glass table circular.,Glass,Walnut Brown,3,762,175x55x88,China,"rectangular, extendable",19
DV8dt9,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,488,119x149x88,China,"1 sections, without mirror",2
cEQ7uI,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Beige,2,56,265x52x125,Sweden,with armrests,34
sbG7jE,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Beige,5,159,182x111x175,Italy,without armrests,46
4ZS1qd,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Beige,2,176,232x75x87,China,"king, with storage",36
7ZjVFn,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Ivory White,1,335,158x79x50,Germany,"3 seats, with recliner",16
a1LTpP,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Natural Oak,10,254,50x102x78,Poland,"1 seats, without recliner",5
2XRHul,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Walnut Brown,2,184,245x75x69,Poland,"2 sections, with mirror",43
kdMDVu,Bed,Relax Bed,A compact glass bed double.,Glass,Natural Oak,3,463,84x87x99,Italy,"queen, with storage",62
IXOQ4w,Table,Cosy Table,A comfortable plastic table rectangular.,Plastic,Charcoal Gray,2,117,283x141x95,Italy,"circular, extendable",31
nD2GIG,Bed,Relax Bed,An ergonomic fabric bed single.,Fabric,Silver,1,99,279x110x102,Germany,"single, without storage",56
oBbh7n,Wardrobe,Compact Wardrobe,A luxurious metal wardrobe 1.,Metal,Jet Black,10,572,73x121x134,China,"1 sections, without mirror",91
F1gmbZ,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Walnut Brown,2,64,113x125x79,Germany,"circular, extendable",22
tT6ZmZ,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Walnut Brown,1,206,255x93x149,Italy,"3 seats, with recliner",30
7lQYNi,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Jet Black,5,462,283x128x178,Poland,"2 sections, with mirror",64
SpPAEH,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Ivory White,2,206,93x57x139,China,"2 sections, without mirror",29
5X7Cjd,Wardrobe,Sturdy Wardrobe,A sturdy glass wardrobe without mirror.,Glass,Charcoal Gray,3,403,72x70x126,Germany,"2 sections, with mirror",50
VA0EJn,Wardrobe,Sturdy Wardrobe,A sturdy fabric wardrobe with mirror.,Fabric,Ivory White,1,209,67x149x57,USA,"2 sections, without mirror",52
eItRkY,Bed,Snug Bed,An elegant wood bed king.,Wood,Walnut Brown,5,173,279x98x154,Germany,"single, without storage",58
SWfGlD,Table,Cosy Table,An ergonomic wood table circular.,Wood,Beige,5,298,150x141x72,China,"circular, extendable",10
FHA287,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Walnut Brown,1,126,153x66x57,USA,"1 seats, without recliner",72
MbEewd,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Ivory White,1,276,92x71x93,China,"rectangular, extendable",32
yurCk6,Table,Buddy Table,An elegant metal table rectangular.,Metal,Jet Black,10,235,263x95x58,China,"circular, not extendable",64
7iHFvW,Bed,Cozy Bed,A comfortable fabric bed single.,Fabric,Natural Oak,1,194,66x39x56,Sweden,"double, with storage",59
oV0Awt,Sofa,Relax Sofa,A compact fabric sofa with recliner.,Fabric,Beige,1,157,187x98x173,Sweden,"3 seats, with recliner",42
KtmETe,Wardrobe,Chic Wardrobe,A compact metal wardrobe without mirror.,Metal,Charcoal Gray,10,465,181x72x145,Poland,"2 sections, with mirror",77
vsLpke,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Walnut Brown,10,488,78x62x89,Italy,"2 sections, without mirror",19
uDrOsu,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Beige,10,613,174x78x154,Poland,"rectangular, not extendable",4
7xsAZc,Wardrobe,Compact Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Beige,1,114,158x118x54,China,"1 sections, without mirror",42
UmC9Kb,Table,Elegant Table,A modern wood table not extendable.,Wood,Natural Oak,5,240,119x141x176,Poland,"circular, not extendable",47
rxjPNw,Chair,Snug Chair,A modern metal chair without armrests.,Metal,Charcoal Gray,10,118,92x144x86,Poland,with armrests,63
7TommP,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Walnut Brown,5,207,73x134x146,Italy,with armrests,27
GIzZzk,Chair,Snug Chair,A compact wood chair with armrests.,Wood,Jet Black,5,331,219x101x109,Italy,with armrests,62
dthMMQ,Sofa,Cozy Sofa,A luxurious glass sofa with recliner.,Glass,Natural Oak,3,774,75x135x145,USA,"2 seats, with recliner",6
9lEtgM,Chair,Snug Chair,A compact plastic chair with armrests.,Plastic,Ivory White,2,128,181x103x185,China,without armrests,14
xluFfE,Chair,Buddy Chair,A sturdy glass chair without armrests.,Glass,Ivory White,3,344,89x124x95,China,without armrests,62
iiqCLL,Bed,Dreamy Bed,A compact fabric bed with storage.,Fabric,Walnut Brown,1,191,63x77x162,Poland,"double, with storage",82
pKy63K,Sofa,Lush Sofa,A sturdy fabric sofa without recliner.,Fabric,Walnut Brown,1,65,246x66x115,Sweden,"1 seats, without recliner",89
3bCvo7,Bed,Relax Bed,A compact glass bed double.,Glass,Silver,3,931,171x82x116,Germany,"single, without storage",99
L6UY5c,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Jet Black,10,357,85x114x48,USA,"rectangular, extendable",44
e2eyCD,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Ivory White,2,125,110x107x166,Germany,"1 sections, with mirror",51
IDchCK,Table,Cosy Table,A sturdy glass table extendable.,Glass,Natural Oak,3,398,199x91x83,Germany,"rectangular, extendable",77
zQc2xa,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Natural Oak,5,199,160x36x179,Italy,"1 seats, without recliner",87
BkKhFa,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Ivory White,1,351,230x60x128,Sweden,"rectangular, extendable",71
8GdLtC,Bed,Dreamy Bed,A luxurious metal bed with storage.,Metal,Charcoal Gray,10,226,225x134x156,China,"single, with storage",89
BZ41xY,Table,Buddy Table,An elegant metal table rectangular.,Metal,Ivory White,10,334,165x35x136,Italy,"rectangular, extendable",41
PNVPe1,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Beige,2,89,193x136x79,USA,"single, with storage",18
1AvS2P,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Silver,2,210,196x103x74,Sweden,"king, without storage",44
0TsM7A,Chair,Chic Chair,A comfortable glass chair without armrests.,Glass,Natural Oak,3,600,135x103x191,Poland,without armrests,27
6ip620,Bed,Snug Bed,A compact metal bed double.,Metal,Silver,10,615,89x39x196,Germany,"double, without storage",15
xLE3xq,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Ivory White,10,408,236x147x63,Poland,"3 seats, without recliner",11
53txAB,Table,Buddy Table,An elegant plastic table extendable.,Plastic,Natural Oak,2,99,60x84x63,China,"circular, extendable",65
TWMlSi,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Charcoal Gray,10,270,275x56x69,China,"single, without storage",96
CUUoBv,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Natural Oak,2,129,257x52x67,Italy,"1 sections, with mirror",86
i8eKhE,Table,Chic Table,A sturdy metal table extendable.,Metal,Beige,10,98,96x110x128,Sweden,"circular, extendable",21
ziuUx8,Wardrobe,Chic Wardrobe,An elegant glass wardrobe with mirror.,Glass,Beige,3,802,239x126x57,China,"1 sections, without mirror",35
sKRyE0,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Natural Oak,2,135,147x39x140,Sweden,without armrests,69
ZBcoTj,Chair,Buddy Chair,A comfortable plastic chair without armrests.,Plastic,Natural Oak,2,72,121x58x84,USA,without armrests,28
yTElcC,Sofa,Relax Sofa,A luxurious plastic sofa without recliner.,Plastic,Silver,2,35,268x122x139,Sweden,"2 seats, with recliner",67
mI5SgL,Table,Cosy Table,A luxurious fabric table extendable.,Fabric,Ivory White,1,236,154x71x150,Sweden,"circular, extendable",49
BxBRGw,Chair,Buddy Chair,A sturdy glass chair without armrests.,Glass,Ivory White,3,609,135x130x83,China,with armrests,77
H0H46V,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Beige,10,314,182x101x190,Poland,without armrests,56
gyLJjp,Chair,Buddy Chair,A sturdy metal chair with armrests.,Metal,Ivory White,10,595,143x34x92,China,without armrests,26
av4gZB,Bed,Cozy Bed,A luxurious wood bed double.,Wood,Ivory White,5,104,242x70x108,USA,"double, with storage",47
ZEoiuG,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Silver,5,95,239x38x101,China,without armrests,33
YjgUrq,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Beige,5,106,150x121x82,Sweden,"1 seats, with recliner",74
PdoDaR,Table,Chic Table,A modern glass table rectangular.,Glass,Charcoal Gray,3,493,135x135x166,Germany,"rectangular, not extendable",50
2U3K0n,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Beige,1,170,56x87x180,Poland,without armrests,62
DgzmFH,Table,Elegant Table,An ergonomic glass table extendable.,Glass,Natural Oak,3,464,269x86x122,Italy,"rectangular, extendable",77
ts9rjl,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Natural Oak,1,97,272x86x186,Germany,"king, without storage",48
JQ1gLn,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Charcoal Gray,5,143,217x65x184,Poland,"1 sections, with mirror",57
NRjOlP,Table,Cosy Table,An ergonomic wood table circular.,Wood,Walnut Brown,5,291,98x98x176,Italy,"rectangular, extendable",37
Js2aMm,Table,Chic Table,A modern glass table rectangular.,Glass,Silver,3,648,252x149x119,USA,"rectangular, extendable",37
9CRN8k,Bed,Lush Bed,An ergonomic glass bed king.,Glass,Natural Oak,3,232,209x54x75,Italy,"single, without storage",71
wAb03N,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Ivory White,5,256,84x143x176,Germany,"single, without storage",26
pgMaFy,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Walnut Brown,5,220,117x38x62,USA,"queen, without storage",92
1oI44a,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Beige,10,448,100x122x176,USA,"3 seats, without recliner",63
lrJl8V,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Jet Black,10,348,274x139x187,Poland,"2 seats, with recliner",15
ROe5vp,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Natural Oak,5,58,223x35x57,Poland,"2 sections, without mirror",35
tVV56L,Chair,Zippy Chair,A modern plastic chair without armrests.,Plastic,Beige,2,120,266x107x156,Germany,with armrests,64
9cPhYQ,Sofa,Comfy Sofa,A sturdy fabric sofa 2.,Fabric,Natural Oak,1,298,242x63x59,Italy,"1 seats, without recliner",32
FY2xit,Wardrobe,Zippy Wardrobe,A modern plastic wardrobe with mirror.,Plastic,Walnut Brown,2,159,186x140x169,Sweden,"2 sections, without mirror",44
mWZ65Y,Chair,Cosy Chair,An ergonomic fabric chair with armrests.,Fabric,Walnut Brown,1,185,70x82x158,Germany,without armrests,68
knnr0x,Sofa,Relax Sofa,A sturdy wood sofa with recliner.,Wood,Jet Black,5,62,145x143x64,USA,"1 seats, with recliner",100
Sy6B33,Chair,Snug Chair,A compact plastic chair with armrests.,Plastic,Walnut Brown,2,122,229x50x119,Sweden,without armrests,30
ZLe0vZ,Bed,Lush Bed,A compact plastic bed double.,Plastic,Silver,2,160,199x104x122,Poland,"queen, without storage",99
Q43MgG,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Jet Black,5,316,188x48x72,China,"1 seats, without recliner",83
wIqbdm,Table,Buddy Table,An elegant metal table rectangular.,Metal,Charcoal Gray,10,183,187x69x172,Germany,"circular, not extendable",85
XLCy0p,Chair,Cosy Chair,An elegant metal chair with armrests.,Metal,Beige,10,505,64x96x184,Germany,with armrests,73
1a1Py1,Table,Elegant Table,A comfortable metal table circular.,Metal,Walnut Brown,10,656,287x136x124,USA,"circular, not extendable",42
4KSlYb,Table,Elegant Table,A comfortable metal table circular.,Metal,Jet Black,10,322,105x71x187,Germany,"rectangular, not extendable",72
xv0HA3,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Charcoal Gray,5,360,206x60x190,Sweden,with armrests,15
06DqAF,Table,Elegant Table,A modern wood table not extendable.,Wood,Charcoal Gray,5,358,96x147x200,Germany,"rectangular, not extendable",63
2OcoL9,Sofa,Snug Sofa,A sturdy metal sofa 1.,Metal,Walnut Brown,10,201,124x141x173,China,"3 seats, without recliner",86
3u2Zgc,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Jet Black,10,650,160x120x159,China,"3 seats, without recliner",65
bu8A9l,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,874,215x89x45,Germany,"1 sections, with mirror",35
ekclES,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Ivory White,5,424,165x118x152,Poland,"1 sections, with mirror",57
1IeSJI,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Natural Oak,3,353,154x71x88,Italy,without armrests,23
GoTrcd,Table,Chic Table,A compact fabric table extendable.,Fabric,Ivory White,1,73,143x141x155,Italy,"circular, extendable",57
dJybCE,Chair,Snug Chair,A compact wood chair with armrests.,Wood,Beige,5,290,211x137x195,China,with armrests,89
76U1hs,Bed,Relax Bed,An ergonomic fabric bed single.,Fabric,Walnut Brown,1,177,111x134x124,Sweden,"double, with storage",93
97LzmZ,Chair,Buddy Chair,A modern fabric chair with armrests.,Fabric,Jet Black,1,376,188x109x123,Sweden,without armrests,41
jWANMt,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Charcoal Gray,5,468,55x125x176,Germany,"1 sections, without mirror",95
QyXTqm,Table,Elegant Table,A comfortable metal table circular.,Metal,Beige,10,420,222x92x196,China,"rectangular, extendable",97
FwfxEb,Bed,Relax Bed,A compact glass bed double.,Glass,Ivory White,3,408,61x38x141,Poland,"king, with storage",70
hAEFtK,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Walnut Brown,10,689,277x134x160,USA,"rectangular, not extendable",23
OaGXcS,Bed,Cozy Bed,A comfortable fabric bed single.,Fabric,Natural Oak,1,159,91x35x159,Germany,"queen, without storage",68
GMYFvW,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Jet Black,5,476,88x69x152,USA,"1 sections, without mirror",1
x3ANky,Chair,Buddy Chair,A sturdy metal chair with armrests.,Metal,Ivory White,10,553,229x145x60,Poland,without armrests,62
u5B3Tn,Table,Buddy Table,An ergonomic wood table not extendable.,Wood,Ivory White,5,255,291x53x200,Sweden,"rectangular, not extendable",38
KhFBGd,Table,Chic Table,A modern glass table rectangular.,Glass,Jet Black,3,522,81x124x71,Germany,"circular, extendable",74
x0FMFx,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Charcoal Gray,1,261,266x92x153,Germany,"circular, extendable",64
iNbRcn,Wardrobe,Sturdy Wardrobe,An ergonomic plastic wardrobe without mirror.,Plastic,Natural Oak,2,131,251x47x102,USA,"2 sections, with mirror",28
drR1UD,Table,Cosy Table,An ergonomic wood table circular.,Wood,Silver,5,86,240x30x63,Italy,"rectangular, extendable",89
Qff41K,Bed,Cozy Bed,A luxurious wood bed double.,Wood,Ivory White,5,233,142x136x70,Sweden,"single, without storage",64
gkILaN,Table,Buddy Table,An elegant metal table rectangular.,Metal,Ivory White,10,797,109x94x198,USA,"circular, not extendable",3
8isaOy,Wardrobe,Sturdy Wardrobe,An ergonomic plastic wardrobe without mirror.,Plastic,Beige,2,96,263x98x187,USA,"2 sections, without mirror",71
vgMSon,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Beige,5,101,250x124x195,USA,without armrests,71
NFIerF,Chair,Buddy Chair,A sturdy metal chair with armrests.,Metal,Walnut Brown,10,240,152x90x94,USA,with armrests,35
la4pH0,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Ivory White,2,88,109x51x49,China,"double, without storage",62
ZqqCft,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Silver,3,579,250x42x116,Sweden,"2 seats, without recliner",41
QXzbXu,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Walnut Brown,2,59,187x114x130,Germany,"1 sections, with mirror",56
ToZrNv,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Ivory White,1,59,104x32x126,Germany,with armrests,60
42zrJs,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Walnut Brown,10,496,131x126x124,Sweden,"1 seats, without recliner",77
SjzA1A,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Jet Black,10,156,195x35x187,Italy,with armrests,13
C7Fjyv,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Charcoal Gray,5,467,162x111x70,Poland,"1 sections, with mirror",37
NBf7uE,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Natural Oak,10,104,144x114x188,Sweden,"2 sections, with mirror",100
xDOhsz,Chair,Snug Chair,A compact glass chair with armrests.,Glass,Beige,3,732,246x116x152,USA,without armrests,43
4untnQ,Table,Chic Table,A sturdy plastic table rectangular.,Plastic,Silver,2,88,186x150x97,Poland,"rectangular, not extendable",46
blGdaP,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Beige,5,82,114x81x118,Germany,with armrests,38
BHlAFE,Chair,Snug Chair,A modern metal chair without armrests.,Metal,Ivory White,10,365,111x30x72,Italy,with armrests,89
6RRhqX,Table,Buddy Table,An ergonomic wood table not extendable.,Wood,Jet Black,5,240,111x85x77,Italy,"rectangular, not extendable",5
HA8Le6,Chair,Snug Chair,A modern metal chair without armrests.,Metal,Silver,10,390,110x40x67,China,with armrests,82
LwmcPD,Wardrobe,Smart Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,586,282x149x97,China,"2 sections, with mirror",61
gX9ccm,Table,Cosy Table,A sturdy glass table extendable.,Glass,Beige,3,711,257x53x156,Poland,"circular, extendable",99
F0Ye0O,Chair,Snug Chair,A luxurious fabric chair with armrests.,Fabric,Beige,1,150,284x83x57,Sweden,without armrests,30
wnpuOB,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Walnut Brown,10,560,180x71x145,Germany,"3 seats, without recliner",97
qA1svv,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Charcoal Gray,10,313,296x74x62,Germany,without armrests,65
n5Q6RS,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Beige,2,138,231x108x164,Sweden,without armrests,87
OYqCtu,Table,Sturdy Table,A sturdy glass table extendable.,Glass,Natural Oak,3,848,73x134x88,Poland,"rectangular, extendable",56
PEREnn,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Walnut Brown,5,160,102x105x63,China,with armrests,34
aqP5Nu,Table,Buddy Table,A compact glass table circular.,Glass,Ivory White,3,353,266x78x176,Italy,"rectangular, not extendable",99
xcDiZv,Table,Cosy Table,A luxurious fabric table extendable.,Fabric,Silver,1,412,110x42x116,Sweden,"circular, not extendable",73
YXjXym,Table,Buddy Table,An elegant metal table rectangular.,Metal,Walnut Brown,10,563,148x32x147,Poland,"rectangular, extendable",91
10wiv4,Table,Cosy Table,An ergonomic wood table circular.,Wood,Ivory White,5,249,68x71x148,Poland,"circular, extendable",52
6QuNvG,Table,Buddy Table,An elegant metal table rectangular.,Metal,Ivory White,10,184,179x49x183,Italy,"circular, extendable",10
UbLzk9,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Walnut Brown,5,419,60x116x164,China,"single, with storage",86
94wAN0,Sofa,Relax Sofa,An ergonomic glass sofa 2.,Glass,Charcoal Gray,3,517,96x87x86,Italy,"1 seats, with recliner",75
uQaBYg,Table,Cosy Table,An ergonomic metal table rectangular.,Metal,Charcoal Gray,10,254,58x150x75,Germany,"rectangular, not extendable",48
IVoDRt,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Walnut Brown,2,50,289x146x56,Germany,"1 sections, without mirror",62
YaPdyt,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Silver,1,263,234x132x141,China,"single, with storage",91
CTbaQK,Table,Cosy Table,A sturdy glass table extendable.,Glass,Beige,3,647,287x107x199,Italy,"circular, not extendable",43
R4mHnJ,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Silver,3,623,288x65x70,Italy,without armrests,61
fnrbI7,Wardrobe,Sturdy Wardrobe,An ergonomic metal wardrobe 1.,Metal,Jet Black,10,296,118x116x115,Sweden,"2 sections, without mirror",32
ULI5Ab,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Charcoal Gray,5,111,253x117x188,China,with armrests,34
5hGCGf,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Beige,2,161,249x51x75,Poland,"circular, not extendable",88
vtoukU,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Jet Black,5,219,61x82x97,Italy,"2 sections, without mirror",59
C8ubDm,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Jet Black,10,227,228x51x171,Italy,"rectangular, not extendable",90
Gihlwy,Chair,Buddy Chair,A comfortable plastic chair without armrests.,Plastic,Jet Black,2,139,238x64x186,Poland,with armrests,82
imp9uJ,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Ivory White,1,190,98x140x129,Germany,with armrests,97
UQIJJP,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Natural Oak,10,336,99x38x40,Italy,"rectangular, not extendable",63
M2U0P8,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Natural Oak,10,720,56x68x141,Sweden,without armrests,15
nOP9sP,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Charcoal Gray,2,67,268x125x181,Poland,"rectangular, extendable",65
sd1jXJ,Sofa,Relax Sofa,A sturdy wood sofa with recliner.,Wood,Charcoal Gray,5,478,259x37x99,Germany,"3 seats, with recliner",19
UwmUai,Bed,Dreamy Bed,A comfortable glass bed without storage.,Glass,Jet Black,3,359,73x88x155,China,"queen, with storage",35
rSwk8r,Chair,Cosy Chair,An elegant metal chair with armrests.,Metal,Charcoal Gray,10,392,176x56x56,Italy,without armrests,3
61geq4,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Beige,3,194,59x108x107,USA,with armrests,45
qfcO1R,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Charcoal Gray,5,283,279x45x176,China,without armrests,46
Hle6I9,Bed,Lush Bed,A modern wood bed without storage.,Wood,Ivory White,5,149,239x46x158,Sweden,"double, with storage",36
MCTOU5,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Silver,2,144,249x92x111,China,"1 sections, with mirror",97
wX9lGb,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Natural Oak,3,699,84x51x121,USA,"2 seats, without recliner",72
VaJnAf,Wardrobe,Zippy Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Beige,1,412,86x82x135,Poland,"2 sections, without mirror",49
kveLxS,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Walnut Brown,5,55,152x78x200,Poland,with armrests,63
dc7ZHh,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Silver,3,238,152x73x117,China,"3 seats, with recliner",23
ue9hu5,Wardrobe,Sturdy Wardrobe,An ergonomic plastic wardrobe without mirror.,Plastic,Silver,2,25,284x147x77,USA,"2 sections, without mirror",69
KQjTf0,Table,Cosy Table,A luxurious fabric table extendable.,Fabric,Silver,1,268,251x137x182,Italy,"circular, extendable",53
JCIeb0,Bed,Relax Bed,A compact glass bed double.,Glass,Walnut Brown,3,263,278x88x103,USA,"double, without storage",32
ImZW5s,Wardrobe,Compact Wardrobe,A luxurious metal wardrobe 1.,Metal,Natural Oak,10,468,92x54x193,China,"2 sections, without mirror",15
owriMv,Chair,Buddy Chair,A sturdy metal chair with armrests.,Metal,Natural Oak,10,491,131x124x103,Germany,without armrests,61
